"","CatchId","Stage","Discharge (m3s-1)"
"2221",17595325,18.8976,47990.1940932
"2222",17595325,19.2024,49857.6610596
"2223",17595325,19.5072,51771.9051456
"2224",17595325,19.812,53747.6299937
"2225",17595325,20.1168,55735.2567473
"2226",17595325,20.4216,57789.4096029
"2227",17595325,20.7264,59858.4154947
"2228",17595325,21.0312,61987.6585554
"2229",17595325,21.336,64083.631234
"2230",17595325,21.6408,66314.7195112
"2231",17595325,21.9456,68503.9821881
"2232",17595325,22.2504,70799.5504864
"2233",17595325,22.5552,73158.6975763
"2234",17595325,22.86,75447.148552
"2235",17595325,23.1648,77862.3112475
"2236",17595325,23.4696,80330.788024
"2237",17595325,23.7744,82867.7546589
"2238",17595325,24.0792,85375.9998901
"2239",17595325,24.384,87930.5031321
"2240",17595325,24.6888,90550.047926
"2241",17595325,24.9936,93199.4251352
"2242",17595273,0,0
"2243",17595273,0.3048,2.13142296605
"2244",17595273,0.6096,6.98650229881
"2245",17595273,0.9144,15.3363711199
"2246",17595273,1.2192,27.6963282627
"2247",17595273,1.524,44.7184867307
"2248",17595273,1.8288,66.7914256185
"2249",17595273,2.1336,95.8862582627
"2250",17595273,2.4384,131.257505269
"2251",17595273,2.7432,176.928232783
"2252",17595273,3.048,229.084710206
"2253",17595273,3.3528,292.380025724
"2254",17595273,3.6576,363.142330811
"2255",17595273,3.9624,445.969251476
"2256",17595273,4.2672,539.626697127
"2257",17595273,4.572,643.590294847
"2258",17595273,4.8768,766.71042116
"2259",17595273,5.1816,898.487496276
"2260",17595273,5.4864,1034.05888373
"2261",17595273,5.7912,1191.44876274
"2262",17595273,6.096,1358.42556848
"2263",17595273,6.4008,1542.78621271
"2264",17595273,6.7056,1735.96715841
"2265",17595273,7.0104,1951.78619227
"2266",17595273,7.3152,2193.57890936
"2267",17595273,7.62,2448.06690652
"2268",17595273,7.9248,2719.96598938
"2269",17595273,8.2296,2999.14608111
"2270",17595273,8.5344,3314.04081711
"2271",17595273,8.8392,3623.46768591
"2272",17595273,9.144,3987.5911664
"2273",17595273,9.4488,4341.14567506
